"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -4.54639086063E-001, +0.00000000000E+000
+1.00500000000E+009, -4.48542822915E-001, +0.00000000000E+000
+1.01000000000E+009, -4.49409410154E-001, +0.00000000000E+000
+1.01500000000E+009, -4.58638918147E-001, +0.00000000000E+000
+1.02000000000E+009, -4.76821568319E-001, +0.00000000000E+000
+1.02500000000E+009, -4.96398074529E-001, +0.00000000000E+000
+1.03000000000E+009, -5.17797509250E-001, +0.00000000000E+000
+1.03500000000E+009, -5.49652005330E-001, +0.00000000000E+000
+1.04000000000E+009, -5.74461022249E-001, +0.00000000000E+000
+1.04500000000E+009, -6.11974322017E-001, +0.00000000000E+000
+1.05000000000E+009, -6.39484031890E-001, +0.00000000000E+000
+1.05500000000E+009, -6.73151378687E-001, +0.00000000000E+000
+1.06000000000E+009, -7.02181230738E-001, +0.00000000000E+000
+1.06500000000E+009, -7.30995979986E-001, +0.00000000000E+000
+1.07000000000E+009, -7.56763511988E-001, +0.00000000000E+000
+1.07500000000E+009, -7.82124714850E-001, +0.00000000000E+000
+1.08000000000E+009, -7.93370401679E-001, +0.00000000000E+000
+1.08500000000E+009, -8.09387188396E-001, +0.00000000000E+000
+1.09000000000E+009, -8.21434009222E-001, +0.00000000000E+000
+1.09500000000E+009, -8.28803397579E-001, +0.00000000000E+000
+1.10000000000E+009, -8.25988945894E-001, +0.00000000000E+000
+1.10500000000E+009, -8.32753725696E-001, +0.00000000000E+000
+1.11000000000E+009, -8.30808973015E-001, +0.00000000000E+000
+1.11500000000E+009, -8.29762962282E-001, +0.00000000000E+000
+1.12000000000E+009, -8.19856154563E-001, +0.00000000000E+000
+1.12500000000E+009, -8.15150993448E-001, +0.00000000000E+000
+1.13000000000E+009, -8.11696910854E-001, +0.00000000000E+000
+1.13500000000E+009, -8.09993215905E-001, +0.00000000000E+000
+1.14000000000E+009, -8.10767559262E-001, +0.00000000000E+000
+1.14500000000E+009, -8.08786666023E-001, +0.00000000000E+000
+1.15000000000E+009, -8.17312969920E-001, +0.00000000000E+000
+1.15500000000E+009, -8.21278658752E-001, +0.00000000000E+000
+1.16000000000E+009, -8.29690854143E-001, +0.00000000000E+000
+1.16500000000E+009, -8.45239979753E-001, +0.00000000000E+000
+1.17000000000E+009, -8.58103346303E-001, +0.00000000000E+000
+1.17500000000E+009, -8.80263192132E-001, +0.00000000000E+000
+1.18000000000E+009, -9.07503578948E-001, +0.00000000000E+000
+1.18500000000E+009, -9.33587263651E-001, +0.00000000000E+000
+1.19000000000E+009, -9.64167015478E-001, +0.00000000000E+000
+1.19500000000E+009, -9.95632892528E-001, +0.00000000000E+000
+1.20000000000E+009, -1.03039564678E+000, +0.00000000000E+000
+1.20500000000E+009, -1.06102118332E+000, +0.00000000000E+000
+1.21000000000E+009, -1.09759968076E+000, +0.00000000000E+000
+1.21500000000E+009, -1.13679911621E+000, +0.00000000000E+000
+1.22000000000E+009, -1.17733195008E+000, +0.00000000000E+000
+1.22500000000E+009, -1.22598505620E+000, +0.00000000000E+000
+1.23000000000E+009, -1.27708760334E+000, +0.00000000000E+000
+1.23500000000E+009, -1.34223101125E+000, +0.00000000000E+000
+1.24000000000E+009, -1.41211610518E+000, +0.00000000000E+000
+1.24500000000E+009, -1.49785520290E+000, +0.00000000000E+000
+1.25000000000E+009, -1.59852151076E+000, +0.00000000000E+000
+1.25500000000E+009, -1.72160363769E+000, +0.00000000000E+000
+1.26000000000E+009, -1.86986151440E+000, +0.00000000000E+000
+1.26500000000E+009, -2.04774845597E+000, +0.00000000000E+000
+1.27000000000E+009, -2.26730514301E+000, +0.00000000000E+000
+1.27500000000E+009, -2.54582847363E+000, +0.00000000000E+000
+1.28000000000E+009, -2.89379909635E+000, +0.00000000000E+000
+1.28500000000E+009, -3.32685617663E+000, +0.00000000000E+000
+1.29000000000E+009, -3.88709528776E+000, +0.00000000000E+000
+1.29500000000E+009, -4.60539187564E+000, +0.00000000000E+000
+1.30000000000E+009, -5.51546485406E+000, +0.00000000000E+000
+1.30500000000E+009, -6.67795279452E+000, +0.00000000000E+000
+1.31000000000E+009, -8.11941612740E+000, +0.00000000000E+000
+1.31500000000E+009, -9.84505550246E+000, +0.00000000000E+000
+1.32000000000E+009, -1.17482339907E+001, +0.00000000000E+000
+1.32500000000E+009, -1.34712456145E+001, +0.00000000000E+000
+1.33000000000E+009, -1.44546489060E+001, +0.00000000000E+000
+1.33500000000E+009, -1.44103510921E+001, +0.00000000000E+000
+1.34000000000E+009, -1.37369392743E+001, +0.00000000000E+000
+1.34500000000E+009, -1.29634749585E+001, +0.00000000000E+000
+1.35000000000E+009, -1.23262426144E+001, +0.00000000000E+000
+1.35500000000E+009, -1.18965977298E+001, +0.00000000000E+000
+1.36000000000E+009, -1.16533490634E+001, +0.00000000000E+000
+1.36500000000E+009, -1.16158392881E+001, +0.00000000000E+000
+1.37000000000E+009, -1.17397713941E+001, +0.00000000000E+000
+1.37500000000E+009, -1.20458911250E+001, +0.00000000000E+000
+1.38000000000E+009, -1.24949852689E+001, +0.00000000000E+000
+1.38500000000E+009, -1.31217285437E+001, +0.00000000000E+000
+1.39000000000E+009, -1.39021355944E+001, +0.00000000000E+000
+1.39500000000E+009, -1.48443678231E+001, +0.00000000000E+000
+1.40000000000E+009, -1.59319389603E+001, +0.00000000000E+000
+1.40500000000E+009, -1.71491525911E+001, +0.00000000000E+000
+1.41000000000E+009, -1.83992272955E+001, +0.00000000000E+000
+1.41500000000E+009, -1.95631294545E+001, +0.00000000000E+000
+1.42000000000E+009, -2.05480922490E+001, +0.00000000000E+000
+1.42500000000E+009, -2.11156566503E+001, +0.00000000000E+000
