"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -6.28446789407E+001, +0.00000000000E+000
+1.00500000000E+009, -6.39994844590E+001, +0.00000000000E+000
+1.01000000000E+009, -6.38790395336E+001, +0.00000000000E+000
+1.01500000000E+009, -6.79304403702E+001, +0.00000000000E+000
+1.02000000000E+009, -7.01996355921E+001, +0.00000000000E+000
+1.02500000000E+009, -7.86141732745E+001, +0.00000000000E+000
+1.03000000000E+009, -7.51060258233E+001, +0.00000000000E+000
+1.03500000000E+009, -7.11240549563E+001, +0.00000000000E+000
+1.04000000000E+009, -6.66674679087E+001, +0.00000000000E+000
+1.04500000000E+009, -6.36825932584E+001, +0.00000000000E+000
+1.05000000000E+009, -6.08309012669E+001, +0.00000000000E+000
+1.05500000000E+009, -5.94989266052E+001, +0.00000000000E+000
+1.06000000000E+009, -5.73628004480E+001, +0.00000000000E+000
+1.06500000000E+009, -5.61614780990E+001, +0.00000000000E+000
+1.07000000000E+009, -5.43980653772E+001, +0.00000000000E+000
+1.07500000000E+009, -5.29677321003E+001, +0.00000000000E+000
+1.08000000000E+009, -5.18716030662E+001, +0.00000000000E+000
+1.08500000000E+009, -5.07315197317E+001, +0.00000000000E+000
+1.09000000000E+009, -4.98300247307E+001, +0.00000000000E+000
+1.09500000000E+009, -4.88710042238E+001, +0.00000000000E+000
+1.10000000000E+009, -4.81736131636E+001, +0.00000000000E+000
+1.10500000000E+009, -4.71711998398E+001, +0.00000000000E+000
+1.11000000000E+009, -4.63268180297E+001, +0.00000000000E+000
+1.11500000000E+009, -4.54398028032E+001, +0.00000000000E+000
+1.12000000000E+009, -4.44362145687E+001, +0.00000000000E+000
+1.12500000000E+009, -4.37009259241E+001, +0.00000000000E+000
+1.13000000000E+009, -4.28554569863E+001, +0.00000000000E+000
+1.13500000000E+009, -4.19719045262E+001, +0.00000000000E+000
+1.14000000000E+009, -4.11905350185E+001, +0.00000000000E+000
+1.14500000000E+009, -4.02356511199E+001, +0.00000000000E+000
+1.15000000000E+009, -3.93987377599E+001, +0.00000000000E+000
+1.15500000000E+009, -3.85506461553E+001, +0.00000000000E+000
+1.16000000000E+009, -3.76241413242E+001, +0.00000000000E+000
+1.16500000000E+009, -3.67845826447E+001, +0.00000000000E+000
+1.17000000000E+009, -3.58565841642E+001, +0.00000000000E+000
+1.17500000000E+009, -3.49460749068E+001, +0.00000000000E+000
