"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, +1.70335445307E+002, +0.00000000000E+000
+1.00500000000E+009, +1.69307982561E+002, +0.00000000000E+000
+1.01000000000E+009, +1.68371948670E+002, +0.00000000000E+000
+1.01500000000E+009, +1.67400345161E+002, +0.00000000000E+000
+1.02000000000E+009, +1.66470214133E+002, +0.00000000000E+000
+1.02500000000E+009, +1.65516303510E+002, +0.00000000000E+000
+1.03000000000E+009, +1.64532412002E+002, +0.00000000000E+000
+1.03500000000E+009, +1.63528114308E+002, +0.00000000000E+000
+1.04000000000E+009, +1.62453864947E+002, +0.00000000000E+000
+1.04500000000E+009, +1.61371599367E+002, +0.00000000000E+000
+1.05000000000E+009, +1.60227697989E+002, +0.00000000000E+000
+1.05500000000E+009, +1.58987069708E+002, +0.00000000000E+000
+1.06000000000E+009, +1.57686678969E+002, +0.00000000000E+000
+1.06500000000E+009, +1.56324553781E+002, +0.00000000000E+000
+1.07000000000E+009, +1.54867793769E+002, +0.00000000000E+000
+1.07500000000E+009, +1.53295087662E+002, +0.00000000000E+000
+1.08000000000E+009, +1.51699700891E+002, +0.00000000000E+000
+1.08500000000E+009, +1.50035452403E+002, +0.00000000000E+000
+1.09000000000E+009, +1.48303226149E+002, +0.00000000000E+000
+1.09500000000E+009, +1.46487222186E+002, +0.00000000000E+000
+1.10000000000E+009, +1.44650108926E+002, +0.00000000000E+000
+1.10500000000E+009, +1.42664360137E+002, +0.00000000000E+000
+1.11000000000E+009, +1.40709730627E+002, +0.00000000000E+000
+1.11500000000E+009, +1.38712856359E+002, +0.00000000000E+000
+1.12000000000E+009, +1.36679778407E+002, +0.00000000000E+000
+1.12500000000E+009, +1.34589573374E+002, +0.00000000000E+000
+1.13000000000E+009, +1.32520718829E+002, +0.00000000000E+000
+1.13500000000E+009, +1.30415680452E+002, +0.00000000000E+000
+1.14000000000E+009, +1.28293189283E+002, +0.00000000000E+000
+1.14500000000E+009, +1.26174541202E+002, +0.00000000000E+000
+1.15000000000E+009, +1.24045611603E+002, +0.00000000000E+000
+1.15500000000E+009, +1.21902460714E+002, +0.00000000000E+000
+1.16000000000E+009, +1.19689589266E+002, +0.00000000000E+000
+1.16500000000E+009, +1.17526101187E+002, +0.00000000000E+000
+1.17000000000E+009, +1.15324082885E+002, +0.00000000000E+000
+1.17500000000E+009, +1.13096801606E+002, +0.00000000000E+000
+1.18000000000E+009, +1.10900866880E+002, +0.00000000000E+000
