"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, +1.48708081059E+002, +0.00000000000E+000
+1.00500000000E+009, +1.42483009326E+002, +0.00000000000E+000
+1.01000000000E+009, +1.14683450145E+002, +0.00000000000E+000
+1.01500000000E+009, +1.15189104243E+002, +0.00000000000E+000
+1.02000000000E+009, +8.40152279234E+001, +0.00000000000E+000
+1.02500000000E+009, -4.15071120513E+001, +0.00000000000E+000
+1.03000000000E+009, -4.10189652190E+001, +0.00000000000E+000
+1.03500000000E+009, -6.59616124217E+001, +0.00000000000E+000
+1.04000000000E+009, -6.80387922644E+001, +0.00000000000E+000
+1.04500000000E+009, -7.25419226785E+001, +0.00000000000E+000
+1.05000000000E+009, -7.89949676331E+001, +0.00000000000E+000
+1.05500000000E+009, -8.41668122955E+001, +0.00000000000E+000
+1.06000000000E+009, -8.71421603649E+001, +0.00000000000E+000
+1.06500000000E+009, -8.85337190861E+001, +0.00000000000E+000
+1.07000000000E+009, -9.21065929526E+001, +0.00000000000E+000
+1.07500000000E+009, -9.44499933857E+001, +0.00000000000E+000
+1.08000000000E+009, -9.63539999814E+001, +0.00000000000E+000
+1.08500000000E+009, -1.00279410399E+002, +0.00000000000E+000
+1.09000000000E+009, -1.04470462302E+002, +0.00000000000E+000
+1.09500000000E+009, -1.07275569045E+002, +0.00000000000E+000
+1.10000000000E+009, -1.09628378058E+002, +0.00000000000E+000
+1.10500000000E+009, -1.11908983189E+002, +0.00000000000E+000
+1.11000000000E+009, -1.14853870494E+002, +0.00000000000E+000
+1.11500000000E+009, -1.17192536903E+002, +0.00000000000E+000
+1.12000000000E+009, -1.19124313106E+002, +0.00000000000E+000
+1.12500000000E+009, -1.20670384916E+002, +0.00000000000E+000
+1.13000000000E+009, -1.23864123160E+002, +0.00000000000E+000
+1.13500000000E+009, -1.25176608470E+002, +0.00000000000E+000
+1.14000000000E+009, -1.27678180942E+002, +0.00000000000E+000
+1.14500000000E+009, -1.28957099946E+002, +0.00000000000E+000
+1.15000000000E+009, -1.32000319784E+002, +0.00000000000E+000
+1.15500000000E+009, -1.33772271593E+002, +0.00000000000E+000
+1.16000000000E+009, -1.35975844219E+002, +0.00000000000E+000
+1.16500000000E+009, -1.38450470991E+002, +0.00000000000E+000
+1.17000000000E+009, -1.41123572328E+002, +0.00000000000E+000
+1.17500000000E+009, -1.43676998819E+002, +0.00000000000E+000
+1.18000000000E+009, -1.46015251975E+002, +0.00000000000E+000
+1.18500000000E+009, -1.48561814236E+002, +0.00000000000E+000
+1.19000000000E+009, -1.51388291033E+002, +0.00000000000E+000
+1.19500000000E+009, -1.54082597332E+002, +0.00000000000E+000
+1.20000000000E+009, -1.56963787983E+002, +0.00000000000E+000
+1.20500000000E+009, -1.59908680894E+002, +0.00000000000E+000
+1.21000000000E+009, -1.63108052833E+002, +0.00000000000E+000
+1.21500000000E+009, -1.66637745298E+002, +0.00000000000E+000
+1.22000000000E+009, -1.70185604435E+002, +0.00000000000E+000
