"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -1.74327241490E+002, +0.00000000000E+000
+1.00500000000E+009, -1.75393950014E+002, +0.00000000000E+000
+1.01000000000E+009, -1.76344053487E+002, +0.00000000000E+000
+1.01500000000E+009, -1.77314525731E+002, +0.00000000000E+000
+1.02000000000E+009, -1.78252343383E+002, +0.00000000000E+000
+1.02500000000E+009, -1.79232318783E+002, +0.00000000000E+000
+1.03000000000E+009, +1.79854088509E+002, +0.00000000000E+000
+1.03500000000E+009, +1.78840314506E+002, +0.00000000000E+000
+1.04000000000E+009, +1.77852722153E+002, +0.00000000000E+000
+1.04500000000E+009, +1.76791869198E+002, +0.00000000000E+000
+1.05000000000E+009, +1.75698898764E+002, +0.00000000000E+000
+1.05500000000E+009, +1.74498218258E+002, +0.00000000000E+000
+1.06000000000E+009, +1.73280828686E+002, +0.00000000000E+000
+1.06500000000E+009, +1.71944146183E+002, +0.00000000000E+000
+1.07000000000E+009, +1.70541878053E+002, +0.00000000000E+000
+1.07500000000E+009, +1.69071387718E+002, +0.00000000000E+000
+1.08000000000E+009, +1.67500926604E+002, +0.00000000000E+000
+1.08500000000E+009, +1.65866789291E+002, +0.00000000000E+000
+1.09000000000E+009, +1.64157345663E+002, +0.00000000000E+000
+1.09500000000E+009, +1.62357729724E+002, +0.00000000000E+000
+1.10000000000E+009, +1.60537376234E+002, +0.00000000000E+000
+1.10500000000E+009, +1.58574779301E+002, +0.00000000000E+000
+1.11000000000E+009, +1.56596073420E+002, +0.00000000000E+000
+1.11500000000E+009, +1.54603615256E+002, +0.00000000000E+000
+1.12000000000E+009, +1.52537175071E+002, +0.00000000000E+000
+1.12500000000E+009, +1.50414409241E+002, +0.00000000000E+000
+1.13000000000E+009, +1.48312001738E+002, +0.00000000000E+000
+1.13500000000E+009, +1.46162807402E+002, +0.00000000000E+000
+1.14000000000E+009, +1.43984776831E+002, +0.00000000000E+000
+1.14500000000E+009, +1.41819789336E+002, +0.00000000000E+000
+1.15000000000E+009, +1.39584685586E+002, +0.00000000000E+000
+1.15500000000E+009, +1.37365085870E+002, +0.00000000000E+000
+1.16000000000E+009, +1.35118339742E+002, +0.00000000000E+000
+1.16500000000E+009, +1.32842125719E+002, +0.00000000000E+000
+1.17000000000E+009, +1.30595956621E+002, +0.00000000000E+000
+1.17500000000E+009, +1.28303871429E+002, +0.00000000000E+000
+1.18000000000E+009, +1.25992464817E+002, +0.00000000000E+000
+1.18500000000E+009, +1.23600710901E+002, +0.00000000000E+000
+1.19000000000E+009, +1.21203820092E+002, +0.00000000000E+000
+1.19500000000E+009, +1.18784517746E+002, +0.00000000000E+000
+1.20000000000E+009, +1.16261331383E+002, +0.00000000000E+000
+1.20500000000E+009, +1.13705725310E+002, +0.00000000000E+000
+1.21000000000E+009, +1.11023399960E+002, +0.00000000000E+000
+1.21500000000E+009, +1.08251020515E+002, +0.00000000000E+000
+1.22000000000E+009, +1.05442062378E+002, +0.00000000000E+000
+1.22500000000E+009, +1.02432139376E+002, +0.00000000000E+000
+1.23000000000E+009, +9.93016068715E+001, +0.00000000000E+000
+1.23500000000E+009, +9.60480839321E+001, +0.00000000000E+000
+1.24000000000E+009, +9.25804683775E+001, +0.00000000000E+000
+1.24500000000E+009, +8.89530933746E+001, +0.00000000000E+000
+1.25000000000E+009, +8.50211393882E+001, +0.00000000000E+000
+1.25500000000E+009, +8.08786095119E+001, +0.00000000000E+000
+1.26000000000E+009, +7.64357443161E+001, +0.00000000000E+000
+1.26500000000E+009, +7.16759350544E+001, +0.00000000000E+000
+1.27000000000E+009, +6.66086443804E+001, +0.00000000000E+000
+1.27500000000E+009, +6.11394601737E+001, +0.00000000000E+000
+1.28000000000E+009, +5.52598944257E+001, +0.00000000000E+000
+1.28500000000E+009, +4.90063146658E+001, +0.00000000000E+000
+1.29000000000E+009, +4.23778191511E+001, +0.00000000000E+000
+1.29500000000E+009, +3.55371516902E+001, +0.00000000000E+000
+1.30000000000E+009, +2.86317437731E+001, +0.00000000000E+000
+1.30500000000E+009, +2.19968078635E+001, +0.00000000000E+000
+1.31000000000E+009, +1.62819489834E+001, +0.00000000000E+000
+1.31500000000E+009, +1.24822294013E+001, +0.00000000000E+000
+1.32000000000E+009, +1.22909803453E+001, +0.00000000000E+000
+1.32500000000E+009, +1.70786005566E+001, +0.00000000000E+000
+1.33000000000E+009, +2.74240807160E+001, +0.00000000000E+000
+1.33500000000E+009, +3.88654031256E+001, +0.00000000000E+000
+1.34000000000E+009, +4.66366218745E+001, +0.00000000000E+000
+1.34500000000E+009, +4.98762013704E+001, +0.00000000000E+000
+1.35000000000E+009, +4.99307770057E+001, +0.00000000000E+000
+1.35500000000E+009, +4.79835594759E+001, +0.00000000000E+000
+1.36000000000E+009, +4.49901056424E+001, +0.00000000000E+000
+1.36500000000E+009, +4.16490037559E+001, +0.00000000000E+000
+1.37000000000E+009, +3.82044029508E+001, +0.00000000000E+000
+1.37500000000E+009, +3.48025568875E+001, +0.00000000000E+000
+1.38000000000E+009, +3.16501710297E+001, +0.00000000000E+000
+1.38500000000E+009, +2.89242336772E+001, +0.00000000000E+000
+1.39000000000E+009, +2.68123693841E+001, +0.00000000000E+000
+1.39500000000E+009, +2.55809133645E+001, +0.00000000000E+000
+1.40000000000E+009, +2.57474879424E+001, +0.00000000000E+000
+1.40500000000E+009, +2.75264924724E+001, +0.00000000000E+000
+1.41000000000E+009, +3.16021792394E+001, +0.00000000000E+000
+1.41500000000E+009, +3.82403918114E+001, +0.00000000000E+000
+1.42000000000E+009, +4.72738944528E+001, +0.00000000000E+000
+1.42500000000E+009, +5.73645173559E+001, +0.00000000000E+000
+1.43000000000E+009, +6.68466261526E+001, +0.00000000000E+000
+1.43500000000E+009, +7.36704994433E+001, +0.00000000000E+000
+1.44000000000E+009, +7.83718922859E+001, +0.00000000000E+000
+1.44500000000E+009, +8.05755334141E+001, +0.00000000000E+000
+1.45000000000E+009, +8.10219810769E+001, +0.00000000000E+000
