"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -5.54418681123E-001, +0.00000000000E+000
+1.00500000000E+009, -5.47472235317E-001, +0.00000000000E+000
+1.01000000000E+009, -5.53124099783E-001, +0.00000000000E+000
+1.01500000000E+009, -5.64800675287E-001, +0.00000000000E+000
+1.02000000000E+009, -5.81622312269E-001, +0.00000000000E+000
+1.02500000000E+009, -6.07643383464E-001, +0.00000000000E+000
+1.03000000000E+009, -6.32080098769E-001, +0.00000000000E+000
+1.03500000000E+009, -6.57220629028E-001, +0.00000000000E+000
+1.04000000000E+009, -6.85543360349E-001, +0.00000000000E+000
+1.04500000000E+009, -7.17524826955E-001, +0.00000000000E+000
+1.05000000000E+009, -7.48106458226E-001, +0.00000000000E+000
+1.05500000000E+009, -7.74328284352E-001, +0.00000000000E+000
+1.06000000000E+009, -8.03252043098E-001, +0.00000000000E+000
+1.06500000000E+009, -8.25379478125E-001, +0.00000000000E+000
+1.07000000000E+009, -8.52989993116E-001, +0.00000000000E+000
+1.07500000000E+009, -8.67162521835E-001, +0.00000000000E+000
+1.08000000000E+009, -8.76966975178E-001, +0.00000000000E+000
+1.08500000000E+009, -8.88511021843E-001, +0.00000000000E+000
+1.09000000000E+009, -8.93390345907E-001, +0.00000000000E+000
+1.09500000000E+009, -8.90245547582E-001, +0.00000000000E+000
+1.10000000000E+009, -8.86002226799E-001, +0.00000000000E+000
+1.10500000000E+009, -8.86173148056E-001, +0.00000000000E+000
+1.11000000000E+009, -8.75966844823E-001, +0.00000000000E+000
+1.11500000000E+009, -8.73083541123E-001, +0.00000000000E+000
+1.12000000000E+009, -8.61521049739E-001, +0.00000000000E+000
+1.12500000000E+009, -8.54773970544E-001, +0.00000000000E+000
+1.13000000000E+009, -8.48631149068E-001, +0.00000000000E+000
+1.13500000000E+009, -8.40450470008E-001, +0.00000000000E+000
+1.14000000000E+009, -8.41727630995E-001, +0.00000000000E+000
+1.14500000000E+009, -8.33560387537E-001, +0.00000000000E+000
+1.15000000000E+009, -8.38484759953E-001, +0.00000000000E+000
+1.15500000000E+009, -8.47147560551E-001, +0.00000000000E+000
+1.16000000000E+009, -8.49402387849E-001, +0.00000000000E+000
+1.16500000000E+009, -8.62114211288E-001, +0.00000000000E+000
+1.17000000000E+009, -8.73151433880E-001, +0.00000000000E+000
+1.17500000000E+009, -8.89541871770E-001, +0.00000000000E+000
+1.18000000000E+009, -9.07560171075E-001, +0.00000000000E+000
+1.18500000000E+009, -9.25596431641E-001, +0.00000000000E+000
+1.19000000000E+009, -9.46758395896E-001, +0.00000000000E+000
+1.19500000000E+009, -9.72901919622E-001, +0.00000000000E+000
+1.20000000000E+009, -9.98029783661E-001, +0.00000000000E+000
+1.20500000000E+009, -1.02011380194E+000, +0.00000000000E+000
+1.21000000000E+009, -1.04542205412E+000, +0.00000000000E+000
+1.21500000000E+009, -1.07639140676E+000, +0.00000000000E+000
+1.22000000000E+009, -1.10686979934E+000, +0.00000000000E+000
+1.22500000000E+009, -1.14451604609E+000, +0.00000000000E+000
+1.23000000000E+009, -1.18472764081E+000, +0.00000000000E+000
+1.23500000000E+009, -1.24408604843E+000, +0.00000000000E+000
+1.24000000000E+009, -1.29798421845E+000, +0.00000000000E+000
+1.24500000000E+009, -1.37557428109E+000, +0.00000000000E+000
+1.25000000000E+009, -1.46717104778E+000, +0.00000000000E+000
+1.25500000000E+009, -1.58055709416E+000, +0.00000000000E+000
+1.26000000000E+009, -1.71869210105E+000, +0.00000000000E+000
+1.26500000000E+009, -1.88835859975E+000, +0.00000000000E+000
+1.27000000000E+009, -2.09445704099E+000, +0.00000000000E+000
+1.27500000000E+009, -2.35462509077E+000, +0.00000000000E+000
+1.28000000000E+009, -2.68858660358E+000, +0.00000000000E+000
+1.28500000000E+009, -3.10607089471E+000, +0.00000000000E+000
+1.29000000000E+009, -3.66400787304E+000, +0.00000000000E+000
+1.29500000000E+009, -4.39293030442E+000, +0.00000000000E+000
+1.30000000000E+009, -5.33313062495E+000, +0.00000000000E+000
+1.30500000000E+009, -6.54337998510E+000, +0.00000000000E+000
+1.31000000000E+009, -8.10469103165E+000, +0.00000000000E+000
+1.31500000000E+009, -1.00495265078E+001, +0.00000000000E+000
+1.32000000000E+009, -1.23388896694E+001, +0.00000000000E+000
+1.32500000000E+009, -1.45360680632E+001, +0.00000000000E+000
+1.33000000000E+009, -1.57633550718E+001, +0.00000000000E+000
+1.33500000000E+009, -1.54396090771E+001, +0.00000000000E+000
+1.34000000000E+009, -1.43341717862E+001, +0.00000000000E+000
+1.34500000000E+009, -1.32416376212E+001, +0.00000000000E+000
+1.35000000000E+009, -1.24191190885E+001, +0.00000000000E+000
+1.35500000000E+009, -1.18769675059E+001, +0.00000000000E+000
+1.36000000000E+009, -1.15976271083E+001, +0.00000000000E+000
+1.36500000000E+009, -1.15300991894E+001, +0.00000000000E+000
+1.37000000000E+009, -1.16842176398E+001, +0.00000000000E+000
+1.37500000000E+009, -1.20301876786E+001, +0.00000000000E+000
+1.38000000000E+009, -1.25694575729E+001, +0.00000000000E+000
+1.38500000000E+009, -1.33157648468E+001, +0.00000000000E+000
+1.39000000000E+009, -1.42746797319E+001, +0.00000000000E+000
+1.39500000000E+009, -1.54406336605E+001, +0.00000000000E+000
+1.40000000000E+009, -1.68465697518E+001, +0.00000000000E+000
+1.40500000000E+009, -1.84735592019E+001, +0.00000000000E+000
+1.41000000000E+009, -2.02356774716E+001, +0.00000000000E+000
+1.41500000000E+009, -2.18372703124E+001, +0.00000000000E+000
+1.42000000000E+009, -2.28394614514E+001, +0.00000000000E+000
+1.42500000000E+009, -2.27853258318E+001, +0.00000000000E+000
+1.43000000000E+009, -2.20511350863E+001, +0.00000000000E+000
+1.43500000000E+009, -2.10664745733E+001, +0.00000000000E+000
+1.44000000000E+009, -2.02464935132E+001, +0.00000000000E+000
+1.44500000000E+009, -1.96208980715E+001, +0.00000000000E+000
+1.45000000000E+009, -1.91919581420E+001, +0.00000000000E+000
+1.45500000000E+009, -1.90058482107E+001, +0.00000000000E+000
+1.46000000000E+009, -1.89872611048E+001, +0.00000000000E+000
+1.46500000000E+009, -1.92024332952E+001, +0.00000000000E+000
+1.47000000000E+009, -1.95190759621E+001, +0.00000000000E+000
+1.47500000000E+009, -1.99554206871E+001, +0.00000000000E+000
+1.48000000000E+009, -2.05369175782E+001, +0.00000000000E+000
+1.48500000000E+009, -2.11526206328E+001, +0.00000000000E+000
+1.49000000000E+009, -2.16849263827E+001, +0.00000000000E+000
+1.49500000000E+009, -2.21521579235E+001, +0.00000000000E+000
+1.50000000000E+009, -2.24566906359E+001, +0.00000000000E+000
+1.50500000000E+009, -2.24745860333E+001, +0.00000000000E+000
+1.51000000000E+009, -2.22328573886E+001, +0.00000000000E+000
+1.51500000000E+009, -2.17918052853E+001, +0.00000000000E+000
+1.52000000000E+009, -2.11587310594E+001, +0.00000000000E+000
+1.52500000000E+009, -2.04735395907E+001, +0.00000000000E+000
+1.53000000000E+009, -1.97873401802E+001, +0.00000000000E+000
+1.53500000000E+009, -1.91468995140E+001, +0.00000000000E+000
+1.54000000000E+009, -1.85963930139E+001, +0.00000000000E+000
+1.54500000000E+009, -1.81229251995E+001, +0.00000000000E+000
+1.55000000000E+009, -1.77922875832E+001, +0.00000000000E+000
+1.55500000000E+009, -1.76718683291E+001, +0.00000000000E+000
+1.56000000000E+009, -1.77002152182E+001, +0.00000000000E+000
+1.56500000000E+009, -1.80080540592E+001, +0.00000000000E+000
+1.57000000000E+009, -1.85625679378E+001, +0.00000000000E+000
+1.57500000000E+009, -1.92409841250E+001, +0.00000000000E+000
+1.58000000000E+009, -1.97806848137E+001, +0.00000000000E+000
+1.58500000000E+009, -1.94703876160E+001, +0.00000000000E+000
+1.59000000000E+009, -1.80098867495E+001, +0.00000000000E+000
+1.59500000000E+009, -1.57979109914E+001, +0.00000000000E+000
+1.60000000000E+009, -1.35399292510E+001, +0.00000000000E+000
+1.60500000000E+009, -1.14928549589E+001, +0.00000000000E+000
+1.61000000000E+009, -9.72625838650E+000, +0.00000000000E+000
+1.61500000000E+009, -8.26265962888E+000, +0.00000000000E+000
+1.62000000000E+009, -7.04657409038E+000, +0.00000000000E+000
+1.62500000000E+009, -6.06432713414E+000, +0.00000000000E+000
+1.63000000000E+009, -5.26712044187E+000, +0.00000000000E+000
+1.63500000000E+009, -4.63579988820E+000, +0.00000000000E+000
+1.64000000000E+009, -4.12726343011E+000, +0.00000000000E+000
+1.64500000000E+009, -3.72651923368E+000, +0.00000000000E+000
+1.65000000000E+009, -3.41282569250E+000, +0.00000000000E+000
+1.65500000000E+009, -3.15717490552E+000, +0.00000000000E+000
+1.66000000000E+009, -2.96131730406E+000, +0.00000000000E+000
+1.66500000000E+009, -2.79372515340E+000, +0.00000000000E+000
+1.67000000000E+009, -2.65628831179E+000, +0.00000000000E+000
+1.67500000000E+009, -2.53550392546E+000, +0.00000000000E+000
+1.68000000000E+009, -2.42576377385E+000, +0.00000000000E+000
+1.68500000000E+009, -2.31476530265E+000, +0.00000000000E+000
+1.69000000000E+009, -2.21511496582E+000, +0.00000000000E+000
+1.69500000000E+009, -2.11218203719E+000, +0.00000000000E+000
+1.70000000000E+009, -2.00967112129E+000, +0.00000000000E+000
+1.70500000000E+009, -1.89300179139E+000, +0.00000000000E+000
+1.71000000000E+009, -1.78808844371E+000, +0.00000000000E+000
+1.71500000000E+009, -1.67320114560E+000, +0.00000000000E+000
+1.72000000000E+009, -1.56528921746E+000, +0.00000000000E+000
+1.72500000000E+009, -1.46240725008E+000, +0.00000000000E+000
+1.73000000000E+009, -1.36395501119E+000, +0.00000000000E+000
+1.73500000000E+009, -1.26833052237E+000, +0.00000000000E+000
+1.74000000000E+009, -1.17955270954E+000, +0.00000000000E+000
+1.74500000000E+009, -1.10401671403E+000, +0.00000000000E+000
+1.75000000000E+009, -1.03217539437E+000, +0.00000000000E+000
+1.75500000000E+009, -9.72834495700E-001, +0.00000000000E+000
+1.76000000000E+009, -9.27528242374E-001, +0.00000000000E+000
+1.76500000000E+009, -8.74102357778E-001, +0.00000000000E+000
+1.77000000000E+009, -8.39925338377E-001, +0.00000000000E+000
+1.77500000000E+009, -8.18178869561E-001, +0.00000000000E+000
+1.78000000000E+009, -7.95336711547E-001, +0.00000000000E+000
+1.78500000000E+009, -7.90353750504E-001, +0.00000000000E+000
+1.79000000000E+009, -7.89368422497E-001, +0.00000000000E+000
+1.79500000000E+009, -7.98553046472E-001, +0.00000000000E+000
+1.80000000000E+009, -8.07127825096E-001, +0.00000000000E+000
+1.80500000000E+009, -8.20137251431E-001, +0.00000000000E+000
+1.81000000000E+009, -8.38374062877E-001, +0.00000000000E+000
+1.81500000000E+009, -8.52615124296E-001, +0.00000000000E+000
+1.82000000000E+009, -8.69230560790E-001, +0.00000000000E+000
+1.82500000000E+009, -8.80660800564E-001, +0.00000000000E+000
+1.83000000000E+009, -8.92754688637E-001, +0.00000000000E+000
+1.83500000000E+009, -8.93301550747E-001, +0.00000000000E+000
+1.84000000000E+009, -8.93127400104E-001, +0.00000000000E+000
+1.84500000000E+009, -8.92425435665E-001, +0.00000000000E+000
+1.85000000000E+009, -8.84915374042E-001, +0.00000000000E+000
+1.85500000000E+009, -8.73982957870E-001, +0.00000000000E+000
+1.86000000000E+009, -8.60869799978E-001, +0.00000000000E+000
+1.86500000000E+009, -8.44506396498E-001, +0.00000000000E+000
+1.87000000000E+009, -8.28752476971E-001, +0.00000000000E+000
+1.87500000000E+009, -8.09761681489E-001, +0.00000000000E+000
+1.88000000000E+009, -7.90525247447E-001, +0.00000000000E+000
+1.88500000000E+009, -7.70905731909E-001, +0.00000000000E+000
+1.89000000000E+009, -7.52408315413E-001, +0.00000000000E+000
+1.89500000000E+009, -7.41017053199E-001, +0.00000000000E+000
+1.90000000000E+009, -7.23140686458E-001, +0.00000000000E+000
+1.90500000000E+009, -7.15251350100E-001, +0.00000000000E+000
+1.91000000000E+009, -7.10723466338E-001, +0.00000000000E+000
+1.91500000000E+009, -6.99853606546E-001, +0.00000000000E+000
+1.92000000000E+009, -7.01960342740E-001, +0.00000000000E+000
+1.92500000000E+009, -7.02174594577E-001, +0.00000000000E+000
+1.93000000000E+009, -7.02352154281E-001, +0.00000000000E+000
+1.93500000000E+009, -7.03520745146E-001, +0.00000000000E+000
+1.94000000000E+009, -7.04054356374E-001, +0.00000000000E+000
+1.94500000000E+009, -7.10499914912E-001, +0.00000000000E+000
+1.95000000000E+009, -7.13449597085E-001, +0.00000000000E+000
+1.95500000000E+009, -7.20842063890E-001, +0.00000000000E+000
+1.96000000000E+009, -7.32777722214E-001, +0.00000000000E+000
+1.96500000000E+009, -7.38527938446E-001, +0.00000000000E+000
+1.97000000000E+009, -7.42614076857E-001, +0.00000000000E+000
+1.97500000000E+009, -7.48291828729E-001, +0.00000000000E+000
+1.98000000000E+009, -7.55341136904E-001, +0.00000000000E+000
+1.98500000000E+009, -7.54322581896E-001, +0.00000000000E+000
+1.99000000000E+009, -7.55259873665E-001, +0.00000000000E+000
+1.99500000000E+009, -7.54790242193E-001, +0.00000000000E+000
+2.00000000000E+009, -7.56086486858E-001, +0.00000000000E+000
