"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+009, -6.85071101031E+001, +0.00000000000E+000
+1.00500000000E+009, -7.05594812441E+001, +0.00000000000E+000
+1.01000000000E+009, -7.04369054554E+001, +0.00000000000E+000
+1.01500000000E+009, -7.34059621194E+001, +0.00000000000E+000
+1.02000000000E+009, -7.14649981832E+001, +0.00000000000E+000
+1.02500000000E+009, -6.73246152374E+001, +0.00000000000E+000
+1.03000000000E+009, -6.56005277274E+001, +0.00000000000E+000
+1.03500000000E+009, -6.27583973179E+001, +0.00000000000E+000
+1.04000000000E+009, -6.09634015008E+001, +0.00000000000E+000
+1.04500000000E+009, -5.98562575821E+001, +0.00000000000E+000
+1.05000000000E+009, -5.80349036119E+001, +0.00000000000E+000
+1.05500000000E+009, -5.68038926763E+001, +0.00000000000E+000
+1.06000000000E+009, -5.57579838035E+001, +0.00000000000E+000
+1.06500000000E+009, -5.40579490923E+001, +0.00000000000E+000
+1.07000000000E+009, -5.26427927548E+001, +0.00000000000E+000
+1.07500000000E+009, -5.16127841829E+001, +0.00000000000E+000
+1.08000000000E+009, -5.08325252197E+001, +0.00000000000E+000
+1.08500000000E+009, -4.95836880698E+001, +0.00000000000E+000
+1.09000000000E+009, -4.86143544668E+001, +0.00000000000E+000
+1.09500000000E+009, -4.77233597863E+001, +0.00000000000E+000
+1.10000000000E+009, -4.71083783649E+001, +0.00000000000E+000
+1.10500000000E+009, -4.64497558841E+001, +0.00000000000E+000
+1.11000000000E+009, -4.55990263914E+001, +0.00000000000E+000
+1.11500000000E+009, -4.47136746512E+001, +0.00000000000E+000
+1.12000000000E+009, -4.40497288682E+001, +0.00000000000E+000
+1.12500000000E+009, -4.33092189983E+001, +0.00000000000E+000
+1.13000000000E+009, -4.25813786737E+001, +0.00000000000E+000
+1.13500000000E+009, -4.17568996309E+001, +0.00000000000E+000
+1.14000000000E+009, -4.10547637222E+001, +0.00000000000E+000
+1.14500000000E+009, -4.02249297983E+001, +0.00000000000E+000
+1.15000000000E+009, -3.94120853144E+001, +0.00000000000E+000
+1.15500000000E+009, -3.86214743719E+001, +0.00000000000E+000
+1.16000000000E+009, -3.77563762253E+001, +0.00000000000E+000
+1.16500000000E+009, -3.68327638804E+001, +0.00000000000E+000
+1.17000000000E+009, -3.59878896986E+001, +0.00000000000E+000
+1.17500000000E+009, -3.50955107382E+001, +0.00000000000E+000
+1.18000000000E+009, -3.41956741912E+001, +0.00000000000E+000
+1.18500000000E+009, -3.32949006014E+001, +0.00000000000E+000
+1.19000000000E+009, -3.23223584967E+001, +0.00000000000E+000
+1.19500000000E+009, -3.13564581397E+001, +0.00000000000E+000
+1.20000000000E+009, -3.04101139654E+001, +0.00000000000E+000
+1.20500000000E+009, -2.94266969490E+001, +0.00000000000E+000
+1.21000000000E+009, -2.84267825919E+001, +0.00000000000E+000
+1.21500000000E+009, -2.73837138724E+001, +0.00000000000E+000
+1.22000000000E+009, -2.63474795010E+001, +0.00000000000E+000
+1.22500000000E+009, -2.53025662621E+001, +0.00000000000E+000
+1.23000000000E+009, -2.42271841416E+001, +0.00000000000E+000
+1.23500000000E+009, -2.31557190408E+001, +0.00000000000E+000
+1.24000000000E+009, -2.20612281314E+001, +0.00000000000E+000
+1.24500000000E+009, -2.09557177641E+001, +0.00000000000E+000
+1.25000000000E+009, -1.98347743080E+001, +0.00000000000E+000
+1.25500000000E+009, -1.87046691260E+001, +0.00000000000E+000
+1.26000000000E+009, -1.75551439223E+001, +0.00000000000E+000
+1.26500000000E+009, -1.63926141248E+001, +0.00000000000E+000
+1.27000000000E+009, -1.52225740775E+001, +0.00000000000E+000
+1.27500000000E+009, -1.40422286516E+001, +0.00000000000E+000
+1.28000000000E+009, -1.28517222032E+001, +0.00000000000E+000
+1.28500000000E+009, -1.16590517052E+001, +0.00000000000E+000
+1.29000000000E+009, -1.04802217642E+001, +0.00000000000E+000
+1.29500000000E+009, -9.33657669213E+000, +0.00000000000E+000
+1.30000000000E+009, -8.25449606544E+000, +0.00000000000E+000
+1.30500000000E+009, -7.25574834895E+000, +0.00000000000E+000
+1.31000000000E+009, -6.37561268854E+000, +0.00000000000E+000
+1.31500000000E+009, -5.63980611377E+000, +0.00000000000E+000
+1.32000000000E+009, -5.05297464061E+000, +0.00000000000E+000
+1.32500000000E+009, -4.62192363300E+000, +0.00000000000E+000
+1.33000000000E+009, -4.31024327468E+000, +0.00000000000E+000
+1.33500000000E+009, -4.09519761012E+000, +0.00000000000E+000
+1.34000000000E+009, -3.94098081357E+000, +0.00000000000E+000
+1.34500000000E+009, -3.82717646016E+000, +0.00000000000E+000
+1.35000000000E+009, -3.73473220705E+000, +0.00000000000E+000
+1.35500000000E+009, -3.64985568136E+000, +0.00000000000E+000
+1.36000000000E+009, -3.56580537256E+000, +0.00000000000E+000
+1.36500000000E+009, -3.48628032676E+000, +0.00000000000E+000
+1.37000000000E+009, -3.40197476502E+000, +0.00000000000E+000
+1.37500000000E+009, -3.32064641998E+000, +0.00000000000E+000
+1.38000000000E+009, -3.24320598283E+000, +0.00000000000E+000
+1.38500000000E+009, -3.16700856095E+000, +0.00000000000E+000
+1.39000000000E+009, -3.09883277990E+000, +0.00000000000E+000
